name	cr	size	type	tags	alignment	environment	ac	hp	init	legendary?	unique?	sources
Hill Giant	5	Huge	Giant		chaotic evil	"arctic, coast, grassland"	13	105	-1			"Basic Rules v1: 32, Monster Manual: 155"
Hippogriff	1	Large	Monstrosity		unaligned	mountain	11	19	1			"Basic Rules v1: 32, Monster Manual: 184"
Hobgoblin	0.25	Medium	Humanoid	Goblinoid	lawful evil	"arctic, coast, grassland, mountain, urban"	18	11	1			"Basic Rules v1: 32, HotDQ supplement: 12, Monster Manual: 186"
Hobgoblin Captain	3	Medium	Humanoid	Goblinoid	lawful evil	"arctic, coast, grassland, mountain, urban"	17	39	2			"HotDQ supplement: 12, Monster Manual: 186, Princes of the Apocalypse Online Supplement v1.0: 20"
Hobgoblin Devastator	4	Medium	Humanoid	Goblinoid	lawful evil	"forest, grassland"	13	45	1			Volo's Guide to Monsters: 161
Hobgoblin Iron Shadow	2	Medium	Humanoid	Goblinoid	lawful evil	"forest, grassland"	15	32	3			Volo's Guide to Monsters: 162
Hobgoblin Warlord	6	Medium	Humanoid	Goblinoid	lawful evil	"arctic, coast, grassland, mountain, urban"	20	97	2			Monster Manual: 187
Homunculus	0	Tiny	Construct		neutral	"dungeon, urban"	13	5	2			Monster Manual: 188
Hook Horror	3	Large	Monstrosity		neutral	"dungeon, underground"	15	75	0			"Monster Manual: 189, Princes of the Apocalypse Online Supplement v1.0: 20"
Hook Horror Servant	3	Medium	Plant		unaligned		15	75	0			Out of the Abyss: 229
Horned Devil	11	Large	Fiend	Devil	lawful evil	"dungeon, planar"	18	178	3			Monster Manual: 74
Howler	8	Large	Fiend		chaotic evil	planar	16	90	3			Mordenkainen's Tome of Foes: 210
Howling Hatred Initiate	0.125	Medium	Humanoid	Human	neutral evil	"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins"	13	9	2			Princes of the Apocalypse: 190
Howling Hatred Priest	2	Medium	Humanoid	Human	neutral evil	"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins"	15	45	3			Princes of the Apocalypse: 190
Hulking Crab	5	Huge	Beast		unaligned		17	76	-1			Storm King's Thunder: 240
Hunter Shark	2	Large	Beast		unaligned	aquatic	12	45	1			"Basic Rules v1: 33, Monster Manual: 330"
Hurricane	2	Medium	Humanoid	Human	lawful evil	"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins"	14	33	3			Princes of the Apocalypse: 191
Hutijin	21	Large	Fiend	Devil	lawful evil	planar	19	200	2	legendary	unique	Mordenkainen's Tome of Foes: 175
Hydra	8	Huge	Monstrosity		unaligned	"aquatic, cave, coast, dungeon, forest, mountain, ruins, swamp, underground"	15	172	1			"Basic Rules v1: 33, Monster Manual: 190"
Hydroloth	9	Medium	Fiend	Yugoloth	neutral evil	planar	15	135	5			Mordenkainen's Tome of Foes: 249
Hyena	0	Medium	Beast		unaligned	"forest, grassland"	11	5	1			"Basic Rules v1: 33, Monster Manual: 331"
Ice Devil	14	Large	Fiend	Devil	lawful evil	"dungeon, planar"	18	180	2			Monster Manual: 75
Ice Mephit	0.25	Small	Elemental		neutral evil	"arctic, dungeon, planar, urban"	11	21	1			"Monster Manual: 215, Princes of the Apocalypse Online Supplement v1.0: 20"
Ice Toad	1	Medium	Monstrosity		neutral	arctic	12	32	0			Rise of Tiamat: 90
Illusionist	3	Medium	Humanoid	Any Race	any	urban	12	38	2			"Volo's Guide to Monsters: 214, Tales from the Yawning Portal: 237"
Imix	19	Huge	Elemental		neutral evil		17	325	7	legendary	unique	Princes of the Apocalypse: 214
Imp	1	Tiny	Fiend	"Devil, Shapechanger"	lawful evil	"dungeon, planar"	13	10	3			"Monster Manual: 76, Player's Handbook: 306"
Intellect Devourer	2	Tiny	Aberration		lawful evil	"dungeon, underground"	12	21	2			Monster Manual: 191
Invisible Stalker	6	Medium	Elemental		neutral	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground, urban"	14	104	4			"Monster Manual: 192, Princes of the Apocalypse Online Supplement v1.0: 21"
Iron Cobra	4	Medium	Construct		unaligned	planar	13	45	3			Mordenkainen's Tome of Foes: 125
Iron Golem	16	Large	Construct		unaligned	"dungeon, ruins, urban"	20	210	-1			Monster Manual: 170
Ixitxachitl	0.5	Small	Aberration		chaotic evil		15	18	3			Out of the Abyss: 225
Iymrith the Dragon	23	Gargantuan	Dragon		lawful evil		22	481	0	legendary	unique	Storm King's Thunder: 241
Izek Strazni	5	Medium	Humanoid	Human	neutral evil		14	112	2			Curse of Strahd: 232
Jackal	0	Small	Beast		unaligned	"desert, grassland"	12	3	2			"Basic Rules v1: 33, Monster Manual: 331"
Jackalwere	0.25	Medium	Humanoid	Shapechanger	chaotic evil	"desert, grassland, urban"	12	18	2			"Monster Manual: 193, Princes of the Apocalypse Online Supplement v1.0: 21"
Jaculi	0.25	Large	Beast		unaligned		14	16	2			Tomb of Annihilation: 225
Jamna Gleamsilver	1	Small	Humanoid	Gnome	neutral		15	22	3		unique	Hoard of the Dragon Queen: 91
Juiblex	23	Huge	Fiend	Demon	chaotic evil		18	350	0	legendary	unique	Out of the Abyss: 243
Juiblex	23	Huge	Fiend	Demon	chaotic evil	planar	18	350	0	legendary	unique	Mordenkainen's Tome of Foes: 151
Kalka-Kylla	3	Large	Monstrosity		neutral		15	85	1		unique	Tales from the Yawning Portal: 238
Kamadan	4	Large	Monstrosity		unaligned		13	67	3			Tomb of Annihilation: 225
Kelpie	4	Medium	Plant		neutral evil		14	67	2			Tales from the Yawning Portal: 238
Kenku	0.5	Medium	Humanoid	Kenku	chaotic neutral	"arctic, coast, desert, forest, grassland, mountain, ruins, urban"	13	13	3			"Monster Manual: 194, Princes of the Apocalypse Online Supplement v1.0: 21"
Ki-rin	12	Huge	Celestial		lawful good	"coast, desert, grassland, mountain"	20	152	3			Volo's Guide to Monsters: 163
Killer Whale	3	Huge	Beast		unaligned	aquatic	12	90	0			"Basic Rules v1: 34, Monster Manual: 331"
Knight	3	Medium	Humanoid	any	any	urban	18	52	0			"Basic Rules v1: 54, HotDQ supplement: 12, Monster Manual: 347"
Kobold	0.125	Small	Humanoid	Kobold	lawful evil	"cave, dungeon, mountain, underground"	12	5	2			"Basic Rules v1: 34, HotDQ supplement: 13, Monster Manual: 195"
Kobold Dragonshield	1	Small	Humanoid	Kobold	lawful evil	"forest, grassland, mountain, underground, urban"	15	44	2			Volo's Guide to Monsters: 165
Kobold Inventor	0.5	Small	Humanoid	Kobold	lawful evil	"forest, grassland, mountain, underground, urban"	12	13	2			"Volo's Guide to Monsters: 166, Tomb of Annihilation: 226"
Kobold Scale Sorcerer	1	Small	Humanoid	Kobold	lawful evil	"forest, grassland, mountain, underground, urban"	15	27	2			"Volo's Guide to Monsters: 167, Tomb of Annihilation: 226"
Korred	7	Small	Fey		chaotic neutral	forest	17	102	2			Volo's Guide to Monsters: 168
Kraken	23	Gargantuan	Monstrosity	Titan	chaotic evil	"aquatic, coast"	18	472	0	legendary		Monster Manual: 197
Kraken Priest	5	Medium	Humanoid	Any Race	any	"coast, aquatic"	10	75	0			Volo's Guide to Monsters: 215
Kruthik Hive Lord	5	Large	Monstrosity		unaligned	"cave, underground"	20	102	3			Mordenkainen's Tome of Foes: 212
Kuo-toa	0.5	Medium	Humanoid	Kuo-toa	neutral evil	"aquatic, coast"	13	18	0			"Monster Manual: 199, Princes of the Apocalypse Online Supplement v1.0: 22"
Kuo-toa Archpriest	6	Medium	Humanoid	Kuo-toa	neutral evil	"aquatic, coast"	13	97	2			"Monster Manual: 200, Princes of the Apocalypse Online Supplement v1.0: 22"
Kuo-toa Monitor	3	Medium	Humanoid	Kuo-toa	neutral evil	"aquatic, coast"	13	65	0			Monster Manual: 198
Kuo-toa Whip	1	Medium	Humanoid	Kuo-toa	neutral evil	"aquatic, coast"	11	65	0			"Monster Manual: 200, Princes of the Apocalypse Online Supplement v1.0: 23"
Lamia	4	Large	Monstrosity		chaotic evil	"desert, ruins"	13	97	1			Monster Manual: 201
Langdedrosa Cyanwrath	4	Medium	Humanoid	Half-Dragon	lawful evil		17	57	1		unique	Hoard of the Dragon Queen: 91
Lemure	0	Medium	Fiend	Devil	lawful evil	"dungeon, planar"	7	13	-3			Monster Manual: 76
Leucrotta	3	Large	Monstrosity		chaotic evil		14	67	2			Tales from the Yawning Portal: 239
Leucrotta	3	Large	Monstrosity		chaotic evil	"desert, grassland"	14	67	2			Volo's Guide to Monsters: 169
Leviathan	20	Gargantuan	Elemental		neutral	"aquatic, planar"	17	328	7	legendary		Mordenkainen's Tome of Foes: 198
Liara Portyr	4	Medium	Humanoid	Human	lawful evil		15	84	1		unique	Tomb of Annihilation: 227
Lich	21	Medium	Undead		any evil	"dungeon, ruins, urban"	17	135	3	legendary		"Monster Manual: 202, Princes of the Apocalypse Online Supplement v1.0: 23"
Lich (in lair)	22	Medium	Undead		any evil	"dungeon, ruins, urban"	17	135	3	legendary		Monster Manual: 202
Lion	1	Large	Beast		unaligned	grassland	12	26	2			"Basic Rules v1: 34, Monster Manual: 331, Player's Handbook: 307"
Lizard	0	Tiny	Beast		unaligned	"cave, desert, dungeon, forest, grassland, mountain, ruins, swamp, underground"	10	2	0			"Basic Rules v1: 34, Monster Manual: 332"
Lizard King/Queen	4	Medium	Humanoid	Lizardfolk	chaotic evil	"coast, dungeon, forest, grassland, swamp"	15	75	1			"Monster Manual: 205, Princes of the Apocalypse Online Supplement v1.0: 24"
Lizardfolk	0.25	Medium	Humanoid	Lizardfolk	neutral	"coast, dungeon, forest, grassland, swamp"	15	22	0			"Basic Rules v1: 35, HotDQ supplement: 13, Monster Manual: 204"
Lizardfolk Shaman	2	Medium	Humanoid	Lizardfolk	neutral	"coast, dungeon, forest, grassland, swamp"	13	27	0			"Monster Manual: 205, Princes of the Apocalypse Online Supplement v1.0: 24"
Madam Eva	10	Medium	Humanoid	Human	chaotic neutral		10	88	0			Curse of Strahd: 233
Maegera the Dawn Titan	23	Gargantuan	Elemental		chaotic neutral		16	341	6	legendary	unique	Storm King's Thunder: 241
Mage	6	Medium	Humanoid	any	any	urban	12	40	2			"Basic Rules v1: 55, HotDQ supplement: 13, Monster Manual: 347"
Magma Mephit	0.25	Small	Elemental		neutral evil	"cave, dungeon, mountain, planar, urban"	11	22	1			"Monster Manual: 216, Princes of the Apocalypse Online Supplement v1.0: 25"
Magmin	0.25	Small	Elemental		chaotic neutral	"dungeon, planar, ruins, urban"	14	9	2			"Monster Manual: 212, Princes of the Apocalypse Online Supplement v1.0: 25"
Male Steeder	0.5	Medium	Beast		unaligned		12	13	1			Out of the Abyss: 231
Male Steeder	0.5	Medium	Monstrosity		unaligned	"cave, underground"	12	13	1			Mordenkainen's Tome of Foes: 238
Malformed Kraken	10	Huge	Monstrosity		chaotic evil		17	172	0		unique	Tales from the Yawning Portal: 239
Mammoth	6	Huge	Beast		unaligned	arctic	13	126	-1			"Basic Rules v1: 35, Monster Manual: 332"
Manes	0.125	Small	Fiend	Demon	chaotic evil	"dungeon, planar"	9	9	-1			Monster Manual: 60
Manticore	3	Large	Monstrosity		lawful evil	"arctic, cave, coast, grassland, mountain, ruins"	14	68	3			"Basic Rules v1: 35, Monster Manual: 213"
Mantrap	1	Large	Plant		unaligned		12	45	2			Tomb of Annihilation: 227
Marid	11	Large	Elemental		chaotic neutral	"aquatic, coast, dungeon, planar, swamp"	17	229	1			Monster Manual: 146
Marilith	16	Large	Fiend	Demon	chaotic evil	"dungeon, planar"	18	189	5			Monster Manual: 61
Marlos Urnrayle	8	Medium	Monstrosity		neutral evil		15	136	0		unique	Princes of the Apocalypse: 199
Marlos Urnrayle (in lair)	12	Medium	Monstrosity		neutral evil		15	136	0		unique	Princes of the Apocalypse: 199
Martial Arts Adept	3	Medium	Humanoid	Any Race	any	urban	16	60	3			"Volo's Guide to Monsters: 216, Tales from the Yawning Portal: 240"
Marut	25	Large	Construct		lawful neutral	planar	22	432	1			Mordenkainen's Tome of Foes: 213
Master Thief	5	Medium	Humanoid	Any Race	any	urban	16	84	4			Volo's Guide to Monsters: 216
Mastiff	0.125	Medium	Beast		unaligned	urban	12	5	2			"Basic Rules v1: 35, Monster Manual: 332, Player's Handbook: 307"
Maurezhi	7	Medium	Fiend	Demon	chaotic evil	planar	15	88	3			Mordenkainen's Tome of Foes: 133
Maw Demon	1	Medium	Fiend	Demon	chaotic evil	underground	13	33	-1			Volo's Guide to Monsters: 137
Meazel	1	Medium	Humanoid	Meazel	neutral evil	"planar, underground"	13	35	3			Mordenkainen's Tome of Foes: 214
Medusa	6	Medium	Monstrosity		lawful evil	"cave, dungeon, mountain, ruins, urban"	15	127	2			"Basic Rules v1: 36, Monster Manual: 214"
Meenlock	2	Small	Fey		neutral evil	"forest, swamp, urban"	15	31	2			Volo's Guide to Monsters: 170
Merfolk	8-Jan	Medium	Humanoid	Merfolk	neutral	aquatic	11	11	1			"Basic Rules v1: 35, Monster Manual: 218"
Merregon	4	Medium	Fiend	Devil	lawful evil	planar	16	45	2			Mordenkainen's Tome of Foes: 166
Merrenoloth	3	Medium	Fiend	Yugoloth	neutral evil	planar	13	40	3			Mordenkainen's Tome of Foes: 250
Merrow	2	Large	Monstrosity		chaotic evil	aquatic	13	45	0			"Monster Manual: 219, Princes of the Apocalypse Online Supplement v1.0: 25"
Mezzoloth	5	Medium	Fiend	Yugoloth	neutral evil	"dungeon, planar"	8	75	0			"Monster Manual: 313, Princes of the Apocalypse Online Supplement v1.0: 26"
Mimic	2	Medium	Monstrosity	Shapechanger	neutral	dungeon	12	58	1			Monster Manual: 220
Mind Flayer	7	Medium	Aberration		lawful evil	"dungeon, underground, urban"	15	71	1			Monster Manual: 222
Mind Flayer Arcanist	8	Medium	Aberration		lawful evil	"dungeon, underground, urban"	15	71	1			Monster Manual: 222
Mind Flayer Lich (Illithilich)	22	Medium	Undead		any evil	underground	17	135	3			Volo's Guide to Monsters: 172
Mindwitness	5	Large	Aberration		lawful evil	underground	15	75	2			Volo's Guide to Monsters: 176
Minotaur	3	Large	Monstrosity		chaotic evil	"cave, dungeon, ruins, underground"	14	76	0			"Basic Rules v1: 35, Monster Manual: 223"
Minotaur Skeleton	2	Large	Undead		lawful evil	"dungeon, underground, urban"	12	67	0			Monster Manual: 273
Miraj Vizann	6	Medium	Humanoid	Earth genasi	neutral evil		10	82	0		unique	Princes of the Apocalypse: 198
Moloch	21	Large	Fiend	Devil	lawful evil	planar	19	253	4	legendary	unique	Mordenkainen's Tome of Foes: 177
Molydeus	21	Huge	Fiend	Demon	chaotic evil	planar	19	216	6	legendary		Mordenkainen's Tome of Foes: 134
Mongrelfolk	0.5	Medium	Humanoid	Mongrelfolk	any		11	26	-1			Curse of Strahd: 234
Monodrone	0.125	Medium	Construct		lawful neutral	planar	15	5	1			Monster Manual: 224
Morkoth	11	Medium	Aberration		chaotic evil	"coast, aquatic"	17	130	2			Volo's Guide to Monsters: 177
Mouth of Grolantor	6	Huge	Giant	Hill Giant	chaotic evil	grassland	14	105	0			Volo's Guide to Monsters: 149
Mud Mephit	0.5	Small	Elemental		neutral evil	"coast, dungeon, forest, planar, swamp, urban"	11	27	1			"Monster Manual: 216, Princes of the Apocalypse Online Supplement v1.0: 26"
Mule	0.125	Medium	Beast		unaligned	urban	10	11	0			"Basic Rules v1: 37, Monster Manual: 333, Player's Handbook: 307"
Mummy	3	Medium	Undead		lawful evil	"desert, dungeon"	11	58	-1			"Basic Rules v1: 37, Monster Manual: 228"
Mummy Lord	15	Medium	Undead		lawful evil	"desert, dungeon"	17	97	0	legendary		Monster Manual: 229
Mwaxanare	0.125	Medium	Humanoid	Human	lawful neutral		10	13	0		unique	Tomb of Annihilation: 228
Myconid Adult	0.25	Medium	Plant		lawful neutral	underground	12	22	0			Monster Manual: 232
Myconid Sovereign	2	Large	Plant		lawful neutral	underground	13	60	0			Monster Manual: 232
Myconid Sprout	0	Small	Plant		lawful neutral	underground	10	7	0			Monster Manual: 230
Nabassu	15	Medium	Fiend	Demon	chaotic evil	planar	18	190	2			Mordenkainen's Tome of Foes: 135
Naergoth Bladelord	11	Medium	Undead		neutral evil	dungeon	18	135	1			Rise of Tiamat: 90
Nagpa	17	Medium	Humanoid	Nagpa	neutral evil		19	187	2			Mordenkainen's Tome of Foes: 215
Nalfeshnee	13	Large	Fiend	Demon	chaotic evil	"dungeon, planar"	18	184	0			Monster Manual: 62
Narrak	2	Small	Humanoid	Derro	chaotic evil		12	40	2		unique	Out of the Abyss: 232
Narzugon	13	Medium	Fiend	Devil	lawful evil	planar	20	112	0			Mordenkainen's Tome of Foes: 167
Necromancer	9	Medium	Humanoid	Any Race	any	"desert, urban"	12	66	2			"Volo's Guide to Monsters: 217, Tales from the Yawning Portal: 241"
Needle Blight	0.5	Medium	Plant		neutral evil	"forest, grassland, swamp"	12	11	1			Monster Manual: 32
Neogi	3	Small	Aberration		lawful evil	"grassland, underground"	15	33	3			Volo's Guide to Monsters: 180
Neogi Hatchling	0.125	Tiny	Aberration		lawful evil	"grassland, underground"	11	7	1			Volo's Guide to Monsters: 179
Neogi Master	4	Medium	Aberration		lawful evil	"grassland, underground"	15	71	3			Volo's Guide to Monsters: 180
Neothelid	13	Gargantuan	Aberration		chaotic evil	underground	16	325	-2			Volo's Guide to Monsters: 181
Nereid	2	Medium	Fey		any chaotic		13	44	3			Tales from the Yawning Portal: 240
Neronvain	9	Medium	Humanoid	Elf	neutral evil		17	117	3			Rise of Tiamat: 91
Night Hag	5	Medium	Fiend		neutral evil	"planar, underground"	17	112	2			Monster Manual: 178
Night Hag (coven)	7	Medium	Fiend		neutral evil	"planar, underground"	17	112	2			Monster Manual: 178
Nightmare	3	Large	Fiend		neutral evil	"planar, swamp"	13	68	2			Monster Manual: 235
Nightwalker	20	Huge	Undead		chaotic evil	planar	14	297	4			Mordenkainen's Tome of Foes: 216
Nilbog	1	Small	Humanoid	Goblinoid	chaotic evil	"grassland, underground"	13	7	2			Volo's Guide to Monsters: 182
Noble	0.125	Medium	Humanoid	any	any	urban	15	9	1			"HotDQ supplement: 13, Monster Manual: 348, Princes of the Apocalypse Online Supplement v1.0: 26"
Nothic	2	Medium	Aberration		neutral evil	"dungeon, ruins, urban"	15	45	3			"Basic Rules v1: 37, Monster Manual: 236"
Nupperibo	0.25	Medium	Fiend	Devil	lawful evil	planar	13	11	0			Mordenkainen's Tome of Foes: 168
Nycaloth	9	Large	Fiend	Yugoloth	neutral evil	"dungeon, planar"	18	123	0			"Monster Manual: 314, Princes of the Apocalypse Online Supplement v1.0: 27"
Oaken Bolter	5	Medium	Construct		unaligned	planar	16	58	4			Mordenkainen's Tome of Foes: 126
Oblex Spawn	0.5	Tiny	Ooze		lawful evil	underground	13	18	3			Mordenkainen's Tome of Foes: 217
Ochre Jelly	2	Large	Ooze		unaligned	dungeon	8	45	-2			"Basic Rules v1: 38, Monster Manual: 243"
Octopus	0	Small	Beast		unaligned	aquatic	12	3	2			"Basic Rules v1: 38, Monster Manual: 333"
Ogr’ÛÎ©moch	20	Huge	Elemental		neutral evil		20	526	0	legendary	unique	Princes of the Apocalypse: 216
Ogre	2	Large	Giant		chaotic evil	"dungeon, forest, mountain, swamp"	11	59	-1			"Basic Rules v1: 38, HotDQ supplement: 14, Monster Manual: 237"
Ogre Battering Ram	4	Large	Giant		chaotic evil	"dungeon, forest, mountain, swamp"	14	59	-1			Mordenkainen's Tome of Foes: 220
Ogre Bolt Launcher	2	Large	Giant		chaotic evil	"dungeon, forest, mountain, swamp"	13	59	1			Mordenkainen's Tome of Foes: 220
Ogre Chain Brute	3	Large	Giant		chaotic evil	"dungeon, forest, mountain, swamp"	11	59	-1			Mordenkainen's Tome of Foes: 221
Ogre Howdah	2	Large	Giant		chaotic evil	"dungeon, forest, mountain, swamp"	13	59	-1			Mordenkainen's Tome of Foes: 221
Ogre Zombie	2	Large	Undead		neutral evil	"dungeon, forest, mountain, swamp"	8	85	-2			Monster Manual: 316
Oinoloth	12	Medium	Fiend	Yugoloth	neutral evil	planar	17	126	3			Mordenkainen's Tome of Foes: 251
Olhydra	18	Huge	Elemental		neutral evil		18	324	6	legendary	unique	Princes of the Apocalypse: 218
One-Eyed Shiver	3	Medium	Humanoid	Human	chaotic evil	"aquatic, cave, coast, grassland, swamp, underground"	12	49	2			Princes of the Apocalypse: 207
Oni	7	Large	Giant		lawful evil	"dungeon, grassland, ruins, urban"	16	110	0			"Monster Manual: 239, Princes of the Apocalypse Online Supplement v1.0: 27"
Ooze Master	10	Huge	Undead		lawful evil		9	138	-5		unique	Tales from the Yawning Portal: 241
Orc	0.25	Medium	Humanoid	Orc	chaotic evil	"arctic, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	13	15	1			"Basic Rules v1: 39, HotDQ supplement: 14, Monster Manual: 246"
Orc Blade of Ilneval	4	Medium	Humanoid	Orc	chaotic evil	"forest, grassland, mountain, underground"	18	60	0			Volo's Guide to Monsters: 183
Orc Claw of Luthic	2	Medium	Humanoid	Orc	chaotic evil	"mountain, underground"	14	45	2			Volo's Guide to Monsters: 183
Orc Eye of Gruumsh	2	Medium	Humanoid	Orc	chaotic evil	"arctic, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	16	45	1			"Monster Manual: 247, Princes of the Apocalypse Online Supplement v1.0: 28"
Orc Hand of Yurtrus	2	Medium	Humanoid	Orc	chaotic evil	"forest, grassland, mountain, underground"	12	30	0			Volo's Guide to Monsters: 184
Orc Nurtured One of Yurtrus	0.25	Medium	Humanoid	Orc	chaotic evil	"forest, grassland, mountain, underground"	9	30	-1			Volo's Guide to Monsters: 184
Orc Red Fang of Shargaas	3	Medium	Humanoid	Orc	chaotic evil	"forest, grassland, mountain, underground, urban"	15	52	3			Volo's Guide to Monsters: 185
Orc War Chief	4	Medium	Humanoid	Orc	chaotic evil	"arctic, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	16	93	1			Monster Manual: 246
Orcus	26	Huge	Fiend	Demon	chaotic evil		17	405	2	legendary	unique	Out of the Abyss: 245
Orcus	26	Huge	Fiend	Demon	chaotic evil	planar	17	405	2	legendary	unique	Mordenkainen's Tome of Foes: 153
Oreioth	2	Medium	Humanoid	Human	chaotic evil		11	39	1		unique	Princes of the Apocalypse: 212
Orog	2	Medium	Humanoid	Orc	chaotic evil	"arctic, coast, desert, dungeon, forest, grassland, mountain, ruins, swamp, urban"	18	42	1			"Monster Manual: 247, Princes of the Apocalypse Online Supplement v1.0: 28"
Orthon	10	Large	Fiend	Devil	lawful evil	planar	17	105	3			Mordenkainen's Tome of Foes: 169
Otyugh	5	Large	Aberration		neutral	"cave, dungeon, ruins, swamp, underground"	14	114	0			"HotDQ supplement: 14, Monster Manual: 248"
Owl	0	Tiny	Beast		unaligned	"forest, urban"	11	1	1			"Basic Rules v1: 39, Monster Manual: 333, Player's Handbook: 308"
Owlbear	3	Large	Monstrosity		unaligned	"forest, mountain"	13	59	1			"Basic Rules v1: 39, Monster Manual: 249"
Panther	0.5	Medium	Beast		unaligned	forest	12	13	2			"Basic Rules v1: 39, Monster Manual: 333, Player's Handbook: 308"
Pegasus	2	Large	Celestial		chaotic good	mountain	12	59	2			"Basic Rules v1: 40, Monster Manual: 250"
Pentadrone	2	Large	Construct		lawful neutral	planar	16	32	2			Monster Manual: 226
Peryton	2	Large	Monstrosity		chaotic evil	mountain	13	33	1			"HotDQ supplement: 15, Monster Manual: 251, Princes of the Apocalypse Online Supplement v1.0: 28"
Phantom Warrior	3	Medium	Undead		any		16	45	0			Curse of Strahd: 235
Pharblex Spattergoo	3	Medium	Humanoid	Bullywug	chaotic evil		15	59	1		unique	Hoard of the Dragon Queen: 91
Phase Spider	3	Large	Monstrosity		unaligned	"cave, coast, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	13	32	2			"Basic Rules v1: 40, Monster Manual: 334"
Phoenix	16	Gargantuan	Elemental		neutral	planar	18	175	8	legendary		Mordenkainen's Tome of Foes: 199
Pidlewick II	0.5	Small	Construct		neutral evil		14	10	2		unique	Curse of Strahd: 236
Piercer	0.25	Medium	Monstrosity		unaligned	"cave, underground"	15	22	1			"Monster Manual: 252, Princes of the Apocalypse Online Supplement v1.0: 28"
Pit Fiend	20	Large	Fiend	Devil	lawful evil	"dungeon, planar"	19	300	2			Monster Manual: 77
Pixie	0.5	Tiny	Fey		neutral good	"coast, forest, grassland, swamp"	15	1	5			Monster Manual: 253
Planetar	16	Large	Celestial		lawful good	planar	19	200	5			Monster Manual: 17
Plesiosaurus	2	Large	Beast		unaligned	aquatic	13	68	2			"Basic Rules v1: 40, Monster Manual: 80"
Poisonous Snake	0.125	Tiny	Beast		unaligned	"desert, forest, grassland, swamp"	13	2	3			"Basic Rules v1: 40, Monster Manual: 334, Player's Handbook: 308"
Polar Bear	2	Large	Beast		unaligned	"arctic, cave"	12	42	0			"Basic Rules v1: 41, Monster Manual: 334"
Poltergeist	2	Medium	Undead		chaotic evil	"dungeon, ruins, urban"	12	22	2			Monster Manual: 279
Pony	0.125	Medium	Beast		unaligned	grassland	10	11	0			"Basic Rules v1: 41, Monster Manual: 335"
Priest	2	Medium	Humanoid	any	any	urban	13	27	0			"Basic Rules v1: 55, HotDQ supplement: 15, Monster Manual: 348"
Pseudodragon	0.5	Tiny	Dragon		neutral good	urban	13	7	2			"Monster Manual: 254, Player's Handbook: 308"
Pterafolk	1	Large	Monstrosity		neutral evil		12	26	1			Tomb of Annihilation: 229
Pteranodon	0.5	Medium	Beast		unaligned	mountain	13	13	2			"Basic Rules v1: 41, Monster Manual: 80"
Purple Worm	15	Gargantuan	Monstrosity		unaligned	underground	18	247	-2			"Monster Manual: 255, Princes of the Apocalypse Online Supplement v1.0: 29"
Purple Wormling	2	Large	Monstrosity		unaligned		12	42	-2			Storm King's Thunder: 242
Quadrone	1	Medium	Construct		lawful neutral	planar	16	22	2			Monster Manual: 226
Quaggoth	2	Medium	Humanoid	Quaggoth	chaotic neutral	"dungeon, urban"	13	45	1			Monster Manual: 256
Quaggoth Spore Servant	1	Medium	Plant		unaligned	underground	13	45	1			Monster Manual: 230
Quaggoth Thonot	3	Medium	Humanoid	Quaggoth	chaotic neutral	"dungeon, urban"	13	45	1			Monster Manual: 256
Quasit	1	Tiny	Fiend	"Demon, Shapechanger"	chaotic evil	"dungeon, planar"	13	7	3			"Monster Manual: 63, Player's Handbook: 309"
Quetzalcoatlus	2	Huge	Beast		unaligned	"coast, grassland, mountain"	13	30	1			"Volo's Guide to Monsters: 140, Tomb of Annihilation: 230"
Quickling	1	Tiny	Fey		chaotic evil	forest	16	10	6			Volo's Guide to Monsters: 187
Quipper	0	Tiny	Beast		unaligned	aquatic	13	1	3			"Basic Rules v1: 41, Monster Manual: 335"
Rahadin	10	Medium	Humanoid	Elf	lawful evil		18	135	6		unique	Curse of Strahd: 237
Rakshasa	13	Medium	Fiend		lawful evil	"planar, urban"	16	110	3			Monster Manual: 257
Ras Nsi	7	Medium	Monstrosity	"Shapechanger, Yuan-ti"	neutral evil		15	127	3		unique	Tomb of Annihilation: 230
Rat	0	Tiny	Beast		unaligned	"arctic, cave, coast, dungeon, forest, grassland, mountain, ruins, swamp, underground, urban"	10	1	0			"Basic Rules v1: 41, Monster Manual: 335, Player's Handbook: 309"
Rath Modar	6	Medium	Humanoid	Human	lawful evil		13	71	3		unique	"Hoard of the Dragon Queen: 92, Rise of Tiamat: 91"
Raven	0	Tiny	Beast		unaligned	"forest, grassland"	12	1	2			"Basic Rules v1: 42, Monster Manual: 335, Player's Handbook: 309"
Razerblast	5	Medium	Humanoid	Human	chaotic evil	"cave, desert, dungeon, forest, grassland, mountain, ruins, underground"	17	112	0			Princes of the Apocalypse: 201
